name,cost,decription,images
Hieracium marianum Willd.,7,Nizhny Novgorod State Architectural - Building University,edsigtqUQkEDL19DdavST53UJjbZfpgmSTMPr4HuhwRa6Fe1Zf2SLgiQwXJAkeSxCfDprjXiUHG4SqmpsbXFJgAVMXmvRfTdYbH
Opuntia ×occidentalis Engelm. & J.M. Bigelow (pro sp.),9,Saint Ferdinand College,edsigu5Uw3bGkzmNeZ56PHtHpUwjSK3BuPixjWFdr4C6YbejFWVQ5EPJt6LVTE7G7pKeMrVwEM2rbPchvDZ8uGyUtovy4CEaGDE
Hemitomes A. Gray,89,National Taiwan College of the Arts,edsigtexGK3jUNnDHhJ3QpjsJ7aZi7pQLLFQRd3MSekEKkCPYs7vjZqKjcsbd6iXzxxJ6G7hbn17joADhG6y4yfxEYev55Re6uB
Sparganium americanum Nutt.,39,Universidad San Francisco de Quito,edsigtoLMQd7aTWdooGhaexhhSSvcM56vzyyXX5dfQcAryeZtGLgyJTQjhutW5oFv4hjNQnJbpduUSrqK6bpTNawYBQNKYGpkkp
Quercus ilex L.,74,Wisconsin Lutheran College,edsigttpWZrKgFKXBoXXHQr6aR1kUVRruxeABkbMzXX3Xj6T4SAJZs7sErAgqueRi2vza1jQYALzRF7bHxz8A98pQvPaDGr3NAn
Phoradendron macrophyllum (Engelm.) Cockerell,8,Jagran Lakecity University,edsigttBeVfui7Q3H4xUSUi4kmsLWtBhJQBKwMQmyfdHGgomGYLDmUCg1wXNKZgAU97nK7cwnBWPuQ8rsAjaGv2ipjpEGM24zcq
Menegazzia A. Massal.,20,University of Science and Technology of China,edsigtnJPymHCExJvJttKpt4CH7GUVeoGB55ydgonLiwhLnbdo7yHe4TeMMMnScQNCBMAC6knrfXNWCoccdzmGCFHCswcgTuyd1
Helianthemum georgianum Chapm.,10,Virginia College,edsigu12VfRExQbNQ1UpG1hUEGzpFehrU2WpeXfX8aiU23WwPfzaRvn2iy91AJDjkPGT2qph8t9tx1j8F7jHMoxkn9fAQxLVauN
Erysimum marschallianum Andrz. ex M. Bieb.,98,Academy of Economics in Cracow,edsigu3wHpQRWyqvjQrQfmdKR1aRg1SKNyz7e8ukv51GvkSQZVqeDJK8nYLGeT4fLtrEUuPypfadLh6wZz4Do8PUeocpbXhoHJk
Trifolium meduseum Blanche ex Boiss.,12,Auchi Polytechnic,edsigtrjzQkQjM3Tqu5BbCDZxSb3c7xUshEzzszFPkwYFh56mEyZnw16KRw9AJCJpC8iKyZGh4mquBipqTW8ooNnZi9gW9nzjTt
Arctostaphylos mewukka Merriam ssp. truei (W. Knight) P.V. Wells,7,Iceland Academy of the Arts,edsigttRZbESC1gQTRXYN4UPCGY7oeqy3j2TW3WA4fGuduJw8BdQ6NfiR5uwFVQB59ppoRXeSqvN32PaWLnX5Xotz4Lh5oeGkVu
Plagiobothrys hirtus (Greene) I.M. Johnst.,43,University of Minnesota - Crookston,edsigtbTpZG11AxfUF9aATqyNCuTjS1SnLA9MhfNnVFJv7qKNq15KQrEqdhJkQ2xk8EdZik1hh1JAiovLEDQk6uUAodgRbcq6dD
Azolla pinnata R. Br.,91,Dunya Institute of Higher Education,edsigtxnNLX2EyMAbeH5LhussbXSbWiRAuuhM1SFxRZR4pix9FQyzkL3xbyLpyjHf4yCFrL5SyT43pSLstUcaAv2zuL19NzzzoN
